time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-09-22 19:34:19,40.0825681957448,-88.200658996195,0,Available with any HD 360 subscription,Available with any HD 360 subscription,729.07743015462,0.328084,0,0,0,28,10,0,729.07743015462,0,0,0,0,0,0,188.4, -0.1, -1.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2023-09-22 19:34:19,40.082568193163,-88.2006589966908,0,,,729.07743015462,0.328084,0,0.0009520833638,0.0009520833638,28,10,0,729.07743015462,0,0,0.0009520833638,0,0,0,188.4, -0.1, -1.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
200,2023-09-22 19:34:19,40.0825681978801,-88.200658995315,0,,,729.07743015462,0.328084,0,0.00081686026236,0.0027154364386,28,10,0,729.07743015462,0,0,0.0009520833638,0,0,0,188.4, -0.1, -1.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
300,2023-09-22 19:34:19,40.082568200275,-88.2006589920204,0,,,729.07743015462,0.328084,0,0.0020223589886,0.0039840552456,28,10,0,729.07743015462,0,0,0.0020223589886,0,0,0,188.4, -0.1, -1.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
400,2023-09-22 19:34:19,40.0825682040548,-88.200658974758,0,,,729.07743015462,0.328084,0,0.0067084319732,0.0089963257472,28,10,0,729.07743015462,0,0,0.0067084319732,0,0,0,188.4, -0.1, -1.2,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 12. Setting new Maximum Flight Altitude to 120m (394 ft)"
500,2023-09-22 19:34:20,40.0825682253892,-88.2006589562709,0,,,729.07743015462,0.328084,0,0.0155302826492,0.0183355648912,28,10,0,729.07743015462,0,0,0.0155302826492,0,0,0,188.4, -0.1, -1.2,0,0,439,577,640,1342,-89,-68,-58,48,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
600,2023-09-22 19:34:20,40.08256826319,-88.2006589264829,0,,,729.07743015462,0.328084,0,0.0313723435236,0.034439961732,28,10,0,729.07743015462,0,0,0.0313723435236,0,0,0,188.4, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
700,2023-09-22 19:34:20,40.0825682879155,-88.2006589016026,0,,,729.07743015462,0.328084,0,0.042756563048,0.0458251327,28,10,0,729.07743015462,0,0,0.042756563048,0,0,0,188.4, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,"Infrared sensors blocked"
800,2023-09-22 19:34:20,40.0825683338258,-88.2006588422079,0,,,729.07743015462,0.328084,0,0.06622539582,0.069393703008,28,10,0,729.07743015462,0,0,0.06622539582,0,0,0,188.4, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
900,2023-09-22 19:34:20,40.0825683423529,-88.2006588259042,0,,,729.07743015462,0.328084,0,0.071560697828,0.07490649846,28,10,0,729.07743015462,0,0,0.071560697828,0,0,0,188.4, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
1000,2023-09-22 19:34:20,40.0825683480061,-88.2006588110424,0,,,729.07743015462,0.328084,0,0.075878283268,0.079539700708,28,10,0,729.07743015462,0,0,0.075878283268,0,0,0,188.3, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
1100,2023-09-22 19:34:20,40.0825683391149,-88.2006588038699,0,,,729.07743015462,0.328084,0,0.07495735148,0.083351708704,28,10,0,729.07743015462,0,0,0.075878283268,0,0,0,188.2, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
1200,2023-09-22 19:34:20,40.0825683462103,-88.2006588001291,0,,,729.07743015462,0.328084,0,0.077520015604,0.08614337546,28,10,0,729.07743015462,0,0,0.077520015604,0,0,0,188.2, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
1300,2023-09-22 19:34:20,40.0825683469586,-88.2006588002023,0,,,729.07743015462,0.328084,0,0.077699149468,0.086416997516,28,10,0,729.07743015462,0,0,0.077699149468,0,0,0,188.3, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,0,77.54,729.07743015462,0,41,Motors_Started,
1400,2023-09-22 19:34:20,40.082568346726,-88.2006588035564,0,,,729.07743015462,0.328084,0,0.076981957844,0.08735728626,28,10,21.4805,729.07743015462,0,0,0.077699149468,0,0,0,188.3, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,2.767,77.54,729.07743015462,0,41,Motors_Started,
1500,2023-09-22 19:34:21,40.0825683304074,-88.2006588266075,0,,,729.07743015462,0.656168,0,0.068228020556,0.09612369074,28,10,21.4805,729.07743015462,0,0,0.077699149468,0,0,0,188.3, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,2.767,77.54,729.07743015462,0,41,Motors_Started,
1600,2023-09-22 19:34:21,40.0825683253249,-88.2006588447145,0,,,729.07743015462,0.328084,0,0.063429135888,0.101507877264,28,10,21.4805,729.07743015462,0,0,0.077699149468,0,0,0,188.3, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,2.767,77.54,729.07743015462,0,41,Motors_Started,
1700,2023-09-22 19:34:21,40.0825683243317,-88.2006588579794,0,,,729.07743015462,0.328084,0,0.060742784096,0.105228349824,28,10,21.4805,729.07743015462,0,0,0.077699149468,0,0,0,188.3, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,2.767,77.54,729.07743015462,0,41,Motors_Started,
1800,2023-09-22 19:34:21,40.0825683164709,-88.2006588924423,0,,,729.07743015462,0.328084,0,0.052715880952,0.11526739214,28,10,21.4805,729.07743015462,0,0,0.077699149468,0,0,0,188.3, 0, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,48,,,,,,,2.767,77.54,729.07743015462,0,41,Motors_Started,
