time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-01 20:35:52,40.0688894232554,-88.2095714810794,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.5195025955,0.656168,0,0,0,25,10,0,706.5195025955,0,0,0,0,0,0,359.2, -0.7, -0.3,0,0,412,389,364,1684,-93,-96,-100,100,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,"Your aircraft is flying in an Altitude Zone (500m). Please fly with caution."
100,2023-10-01 20:35:52,40.0688894223993,-88.209571465982,0,,,706.5195025955,0.656168,0,0.0042269030224,0.0042269030224,25,10,0,706.5195025955,0,0,0.0042269030224,0,0,0,359.2, -0.7, -0.3,0,0,412,389,364,1684,-93,-96,-100,100,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
200,2023-10-01 20:35:52,40.0688894480077,-88.2095714857488,0,,,706.5195025955,0.656168,0,0.0091244753576,0.0150784453644,25,10,0,706.5195025955,0,0,0.0091244753576,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
300,2023-10-01 20:35:52,40.0688894481995,-88.2095714718388,0,,,706.5195025955,0.656168,0,0.00945948193,0.0189628614992,25,10,0,706.5195025955,0,0,0.00945948193,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
400,2023-10-01 20:35:52,40.0688894535741,-88.2095714641206,0,,,706.5195025955,0.656168,0,0.0120325791252,0.021876477078,25,10,0,706.5195025955,0,0,0.0120325791252,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
500,2023-10-01 20:35:53,40.0688894652272,-88.2095715006276,0,,,706.5195025955,0.656168,0,0.0162569887092,0.032920604728,25,10,0,706.5195025955,0,0,0.0162569887092,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
600,2023-10-01 20:35:53,40.0688894519759,-88.2095714873647,0,,,706.5195025955,0.656168,0,0.0106246066392,0.03901082802,25,10,0,706.5195025955,0,0,0.0162569887092,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 25. Setting new Maximum Flight Altitude to 120m (394 ft)"
700,2023-10-01 20:35:53,40.0688894442358,-88.2095714663883,0,,,706.5195025955,0.656168,0,0.0086844162884,0.045512796732,25,10,0,706.5195025955,0,0,0.0162569887092,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
800,2023-10-01 20:35:53,40.0688894343818,-88.2095714426852,0,,,706.5195025955,0.656168,0,0.0114628612592,0.053044293036,25,10,0,706.5195025955,0,0,0.0162569887092,0,0,0,359.2, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
900,2023-10-01 20:35:53,40.0688894630809,-88.2095714412983,0,,,706.5195025955,0.656168,0,0.0182893378556,0.063522311744,25,10,0,706.5195025955,0,0,0.0182893378556,0,0,0,359.1, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1000,2023-10-01 20:35:53,40.0688894575616,-88.2095714125529,0,,,706.5195025955,0.656168,0,0.0228635834088,0.071797246392,25,10,0,706.5195025955,0,0,0.0228635834088,0,0,0,359, -0.7, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1100,2023-10-01 20:35:53,40.0688894547502,-88.2095714054327,0,,,706.5195025955,0.656168,0,0.0240446530004,0.074034123104,25,10,0,706.5195025955,0,0,0.0240446530004,0,0,0,359.1, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1200,2023-10-01 20:35:53,40.0688894766872,-88.2095714377031,0,,,706.5195025955,0.656168,0,0.0229502632016,0.08608596076,25,10,0,706.5195025955,0,0,0.0240446530004,0,0,0,359.1, -0.7, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1300,2023-10-01 20:35:53,40.0688894671784,-88.2095714307294,0,,,706.5195025955,0.656168,0,0.0213176187924,0.09006397926,25,10,0,706.5195025955,0,0,0.0240446530004,0,0,0,359.1, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1400,2023-10-01 20:35:53,40.068889467241,-88.2095714135286,0,,,706.5195025955,0.656168,0,0.0247643052544,0.094866800936,25,10,0,706.5195025955,0,0,0.0247643052544,0,0,0,359.1, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1500,2023-10-01 20:35:54,40.0688894909393,-88.2095713606545,0,,,706.5195025955,0.656168,0,0.041717849104,0.111975397284,25,10,0,706.5195025955,0,0,0.041717849104,0,0,0,359.2, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1600,2023-10-01 20:35:54,40.0688895628504,-88.2095713598127,0,,,706.5195025955,0.656168,0,0.061158794608,0.138213259016,25,10,0,706.5195025955,0,0,0.061158794608,0,0,0,359.2, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1700,2023-10-01 20:35:54,40.068889565292,-88.2095713323037,0,,,706.5195025955,0.656168,0,0.06641568454,0.145945542728,25,10,0,706.5195025955,0,0,0.06641568454,0,0,0,359.2, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
1800,2023-10-01 20:35:54,40.0688895672111,-88.2095713037061,0,,,706.5195025955,0.656168,0,0.072188650604,0.153960634848,25,10,0,706.5195025955,0,0,0.072188650604,0,0,0,359.2, -0.6, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,86,,,,,,,0,102.02,706.5195025955,0,41,Motors_Started,
