time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-10-10 22:20:58,40.0688863606542,-88.2096455267422,0,Available with any HD 360 subscription,Available with any HD 360 subscription,706.43970403652,0.328084,0,0,0,23,10,0,706.43970403652,0,0,0,0,0,0,177.6, -0.9, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,"GEO: You are in a Warning Zone (Airport). Fly with caution."
100,2023-10-10 22:20:58,40.0688864059728,-88.2096455044133,0,,,706.43970403652,0.328084,0,0.0176708010904,0.0176708010904,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
200,2023-10-10 22:20:58,40.0688863903238,-88.2096455102683,0,,,706.43970403652,0.328084,0,0.011761647358,0.02360974485,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
300,2023-10-10 22:20:58,40.0688863709533,-88.2096455159813,0,,,706.43970403652,0.328084,0,0.0048111222012,0.0308548566304,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
400,2023-10-10 22:20:58,40.0688863534659,-88.2096455282495,0,,,706.43970403652,0.328084,0,0.00265618118736,0.038096457912,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 38. Setting new Maximum Flight Altitude to 120m (394 ft)"
500,2023-10-10 22:20:58,40.0688863897205,-88.2096455141435,0,,,706.43970403652,0.328084,0,0.0111730318536,0.05189796754,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
600,2023-10-10 22:20:58,40.0688863696989,-88.2096455289832,0,,,706.43970403652,0.328084,0,0.00335875995,0.060295933688,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
700,2023-10-10 22:20:58,40.0688863439712,-88.2096455457559,0,,,706.43970403652,0.328084,0,0.0080766406784,0.070786091504,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,"Infrared sensors blocked"
800,2023-10-10 22:20:59,40.068886393273,-88.2096455334057,0,,,706.43970403652,0.328084,0,0.0120455056348,0.089101380804,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.3,0,0,364,364,364,1684,-100,-100,-100,100,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
900,2023-10-10 22:20:59,40.0688863841381,-88.2096455534189,0,,,706.43970403652,0.328084,0,0.0113529859276,0.095607614608,23,10,0,706.43970403652,0,0,0.0176708010904,0,0,0,177.5, -0.9, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,63,,,,,,,0,85.82,706.43970403652,0,41,Motors_Started,
1000,2023-10-10 22:20:59,40.0688863767375,-88.2096455609864,0,,,706.43970403652,0.328084,0,0.011218340254,0.099036092408,22,10,22.465,706.43970403652,0,0,0.0176708010904,0,0,0,177.5, -0.8, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,63,,,,,,,0.316,85.82,706.43970403652,0,41,Motors_Started,
1100,2023-10-10 22:20:59,40.0688863609218,-88.2096455665767,0,,,706.43970403652,0.328084,0,0.0111225725344,0.105013782888,22,10,22.465,706.43970403652,0,0,0.0176708010904,0,0,0,177.5, -0.8, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,63,,,,,,,0.316,85.82,706.43970403652,0,41,Motors_Started,
1200,2023-10-10 22:20:59,40.0688863768891,-88.2096455520661,0,,,706.43970403652,0.328084,0,0.0092238848096,0.112109911724,22,10,22.465,706.43970403652,0,0,0.0176708010904,0,0,0,177.5, -0.9, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,63,,,,,,,0.316,85.82,706.43970403652,0,41,Motors_Started,
1300,2023-10-10 22:20:59,40.0688863764193,-88.2096455482734,0,,,706.43970403652,0.328084,0,0.0083201446232,0.113182746404,22,10,22.465,706.43970403652,0,0,0.0176708010904,0,0,0,177.6, -0.9, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,0,0,0,63,,,,,,,0.316,85.82,706.43970403652,0,41,Motors_Started,
